TP,site,N
2019,188,7
2020,188,1
2021,188,3
2022,188,1
2000,189,12
2001,189,12
2002,189,12
2003,189,12
2004,189,12
2005,189,12
2006,189,12
2007,189,12
2008,189,12
2009,189,12
2010,189,12
2011,189,12
2012,189,12
2013,189,12
2014,189,12
2015,189,10
2016,189,3
2017,189,6
2018,189,4
2019,189,11
2020,189,7
2021,189,3
2000,190,1
2001,190,1
2002,190,1
2004,190,2
2006,190,1
2007,190,6
2008,190,4
2009,190,1
2010,190,1
2011,190,4
2012,190,4
2013,190,2
2014,190,2
2015,190,3
2016,190,5
2017,190,2
2018,190,3
2019,190,6
2020,190,3
2021,190,3
2022,190,1
2002,191,1
2004,191,1
2005,191,1
2006,191,1
2007,191,3
2009,191,2
2010,191,4
2011,191,7
2012,191,5
2013,191,12
2014,191,8
2015,191,4
2016,191,4
2017,191,5
2018,191,5
2019,191,6
2020,191,5
2021,191,5
2022,191,2
2000,192,12
2001,192,12
2002,192,12
2003,192,12
2004,192,12
2005,192,12
2006,192,12
2007,192,12
2008,192,12
2009,192,12
2010,192,12
2011,192,12
2012,192,12
2013,192,12
2014,192,12
2015,192,12
2016,192,12
2017,192,12
2018,192,12
2019,192,12
2020,192,7
2021,192,8
2022,192,4
2005,194,1
2006,194,1
2007,194,1
2008,194,1
2009,194,8
2010,194,10
2011,194,9
2012,194,5
2013,194,3
2014,194,4
2015,194,3
2016,194,3
2017,194,5
2018,194,3
2019,194,5
2020,194,3
2021,194,5
2022,194,1
2000,195,12
2001,195,12
2002,195,12
2003,195,12
2004,195,12
2005,195,12
2006,195,12
2007,195,12
2008,195,12
2009,195,12
2010,195,12
2011,195,12
2012,195,12
2013,195,12
2014,195,12
2015,195,12
2016,195,12
2017,195,12
2018,195,12
2019,195,12
2020,195,8
2021,195,5
2022,195,5
2001,196,3
2002,196,11
2003,196,12
2004,196,9
2005,196,3
2006,196,1
2008,196,3
2009,196,12
2010,196,12
2011,196,12
2012,196,12
2013,196,1
2014,196,6
2015,196,4
2016,196,2
2017,196,2
2018,196,3
2019,196,3
2020,196,2
2021,196,2
2022,196,2
2003,197,2
2004,197,3
2005,197,2
2006,197,5
2007,197,9
2008,197,8
2009,197,4
2010,197,9
2011,197,11
2012,197,10
2013,197,5
2014,197,6
2015,197,11
2016,197,8
2017,197,9
2018,197,8
2019,197,9
