tf_id,plant_date,area,trees,lat,lon,date,year,month
330,14 December 2022,200," Birch, silver(Betula pendula) ",52.62079522620644,-1.16140114284363,2022-12-14,2022,12
330,14 December 2022,200, Broom(Cytisus scoparius) ,52.62079522620644,-1.16140114284363,2022-12-14,2022,12
330,14 December 2022,200," Buckthorn, purging(Rhamnus cathartica) ",52.62079522620644,-1.16140114284363,2022-12-14,2022,12
330,14 December 2022,200," Cherry, bird(Prunus padus) ",52.62079522620644,-1.16140114284363,2022-12-14,2022,12
330,14 December 2022,200, Dog Rose(Rosa canina) ,52.62079522620644,-1.16140114284363,2022-12-14,2022,12
330,14 December 2022,200," Elm, wych(Ulmus glabra) ",52.62079522620644,-1.16140114284363,2022-12-14,2022,12
330,14 December 2022,200," Guelder, rose(Viburnum opulus) ",52.62079522620644,-1.16140114284363,2022-12-14,2022,12
330,14 December 2022,200, Hawthorn(Crataegus monogyna) ,52.62079522620644,-1.16140114284363,2022-12-14,2022,12
330,14 December 2022,200, Holly(Ilex aquifolium) ,52.62079522620644,-1.16140114284363,2022-12-14,2022,12
330,14 December 2022,200, Hornbeam(Carpinus betulus) ,52.62079522620644,-1.16140114284363,2022-12-14,2022,12
330,14 December 2022,200," Oak, english(Quercus robur) ",52.62079522620644,-1.16140114284363,2022-12-14,2022,12
330,14 December 2022,200," Oak, sessile(Quercus petraea)",52.62079522620644,-1.16140114284363,2022-12-14,2022,12
331,08 December 2022,200,"Birch, silver(Betula pendula) ",51.477261,-0.196531,2022-12-08,2022,12
331,08 December 2022,200, Blackthorn(Prunus spinosa) ,51.477261,-0.196531,2022-12-08,2022,12
331,08 December 2022,200, Broom(Cytisus scoparius) ,51.477261,-0.196531,2022-12-08,2022,12
331,08 December 2022,200, Common privet(Ligustrum vulgare) ,51.477261,-0.196531,2022-12-08,2022,12
331,08 December 2022,200, Dog Rose(Rosa canina) ,51.477261,-0.196531,2022-12-08,2022,12
331,08 December 2022,200, Dogwood(Cornus sanguinea) ,51.477261,-0.196531,2022-12-08,2022,12
331,08 December 2022,200," Elm, wych(Ulmus glabra) ",51.477261,-0.196531,2022-12-08,2022,12
331,08 December 2022,200," Guelder, rose(Viburnum opulus) ",51.477261,-0.196531,2022-12-08,2022,12
331,08 December 2022,200, Hawthorn(Crataegus monogyna) ,51.477261,-0.196531,2022-12-08,2022,12
331,08 December 2022,200, Hazel(Corylus avellana) ,51.477261,-0.196531,2022-12-08,2022,12
331,08 December 2022,200, Hornbeam(Carpinus betulus) ,51.477261,-0.196531,2022-12-08,2022,12
331,08 December 2022,200," Lime, small-leaved(Tilia cordata) ",51.477261,-0.196531,2022-12-08,2022,12
331,08 December 2022,200," Oak, english(Quercus robur) ",51.477261,-0.196531,2022-12-08,2022,12
